,Age,Sex,Sport,TrainingTime,SleepHours,Diet,Label
110,27,1,2,4,9,1,1
111,45,0,3,3,9,2,1
112,28,1,1,3,10,1,1
113,18,0,3,1,8,1,1
114,20,1,2,3,10,2,1
115,46,0,2,2,7,4,0
116,49,1,1,4,9,1,1
117,20,1,2,4,7,4,1
118,43,0,4,1,7,2,0
119,25,0,4,4,10,2,1
120,26,1,1,3,6,1,0
121,12,1,2,1,6,1,0
122,45,1,1,3,9,2,1
123,26,0,1,2,8,3,1
124,41,0,3,3,9,2,1
125,10,1,4,3,10,4,1
126,16,1,4,1,9,4,1
127,37,1,2,4,7,1,0
128,10,0,2,4,7,3,1
129,44,1,4,2,6,3,0
130,10,1,2,3,8,4,1
131,31,0,1,2,8,1,1
132,30,1,4,1,7,3,0
133,24,0,2,3,7,4,1
134,24,1,3,1,9,3,0
135,17,0,2,1,10,1,1
136,39,0,2,3,8,2,0
137,45,0,3,3,6,1,0
138,45,1,2,2,6,3,0
139,27,0,2,1,7,3,0
140,19,1,1,2,10,3,0
141,15,1,1,4,9,1,1
142,41,0,3,1,8,1,0
143,48,0,3,1,9,3,0
144,45,0,3,4,7,4,1
145,48,0,1,3,9,1,1
146,10,1,4,3,6,1,0
147,16,0,4,1,7,3,0
148,37,1,4,1,6,3,1
149,21,0,1,4,8,1,1
150,12,0,1,1,7,1,0
151,45,0,2,3,7,1,0
152,20,1,4,2,10,3,1
153,43,1,2,3,10,1,1
154,40,0,3,2,8,1,0
155,41,0,2,2,9,4,0
156,24,1,1,2,9,3,0
157,27,1,4,2,9,4,0
158,39,1,4,1,8,4,0
159,28,1,2,3,10,2,1
160,44,0,2,1,7,4,0
161,39,1,2,3,9,1,1
162,39,1,3,4,8,2,1
163,46,1,2,2,8,2,0
164,14,1,1,3,7,1,1
165,48,1,1,1,8,1,0
166,36,1,1,1,8,3,0
167,43,1,3,2,6,2,0
168,32,0,1,2,9,2,0
169,31,0,2,2,6,3,0
170,48,1,1,3,8,2,1
171,45,1,1,1,9,2,1
172,43,0,4,4,7,1,1
173,27,0,4,3,10,4,1
174,10,0,2,2,9,1,1
175,44,0,2,1,8,1,0
176,39,0,1,2,6,4,0
177,43,1,1,2,6,2,0
178,41,1,3,2,8,2,1
179,40,1,1,4,10,4,1
180,40,0,1,4,8,1,1
181,36,0,2,3,6,2,1
182,49,1,4,3,6,2,1
183,38,0,2,1,9,3,0
184,31,0,3,1,9,4,0
185,18,0,4,2,10,4,0
186,44,1,1,2,10,4,0
187,48,1,3,1,9,2,0
188,41,1,2,3,6,1,0
189,33,0,1,3,6,2,0
190,39,0,1,2,8,1,0
191,28,1,2,1,7,4,1
192,21,1,4,3,6,3,1
193,37,1,2,2,10,1,1
194,49,1,3,1,10,2,0
195,16,1,2,2,6,4,0
196,26,1,3,1,10,4,0
197,14,1,1,3,8,2,0
198,23,0,1,3,8,2,1
199,13,0,1,2,8,2,0
200,12,0,1,1,9,1,0
201,34,1,1,2,9,2,0
202,26,1,4,3,10,2,1
203,15,1,1,2,9,4,0
204,11,1,4,1,9,3,1
205,39,1,3,4,6,2,0
206,26,0,3,2,10,1,0
207,35,1,4,3,8,2,1
208,25,0,3,1,7,3,0
209,42,1,3,4,6,3,0
210,36,1,2,3,10,3,1
211,29,1,2,2,9,1,1
212,40,0,4,2,9,2,1
213,33,0,3,4,6,1,1
214,46,1,4,3,8,4,0
215,24,1,3,1,7,3,1
216,44,0,4,1,10,1,1
217,27,0,3,1,6,1,0
218,17,0,1,4,6,3,1
219,17,1,3,1,6,4,0
220,11,0,4,4,6,3,1
221,38,1,2,4,6,4,1
222,38,0,4,2,6,1,1
223,15,1,1,3,9,2,0
224,12,0,2,3,8,1,1
225,22,1,2,3,7,2,1
226,46,0,4,1,7,2,0
227,28,1,1,3,7,2,1
228,13,0,3,1,8,4,0
229,33,0,1,2,9,3,0
230,33,0,2,4,8,1,1
231,47,0,1,2,9,3,0
232,38,0,1,2,10,3,0
233,36,0,1,1,6,1,0
234,31,0,1,2,10,1,0
235,40,0,1,1,7,2,0
236,42,0,4,4,9,2,1
237,29,1,2,1,8,4,1
238,28,1,4,2,7,3,0
239,35,1,4,3,7,4,0
240,35,1,1,1,8,1,1
241,17,1,3,1,6,2,1
242,28,1,4,4,8,3,1
243,27,1,4,4,8,1,1
244,45,1,3,1,7,2,0
245,45,1,2,1,8,1,0
246,29,0,2,2,9,4,0
247,30,0,1,3,8,4,0
248,16,1,2,4,9,1,1
249,28,0,2,3,8,3,1
250,39,1,1,1,8,2,0
251,19,0,3,4,8,3,1
252,44,1,1,2,6,2,0
253,35,1,4,3,9,3,0
254,39,0,2,1,9,4,0
255,29,1,1,1,10,1,0
256,21,1,1,2,7,3,0
257,44,0,4,4,8,1,1
258,43,0,2,2,8,1,1
259,15,1,3,3,8,2,1
260,41,1,4,2,6,1,1
261,28,1,1,3,6,1,1
262,21,0,1,1,9,4,1
263,37,1,1,2,9,2,1
264,28,0,2,4,8,2,1
265,16,1,3,2,10,3,1
266,38,0,2,2,6,1,0
267,47,1,4,1,10,3,1
268,17,1,4,4,10,2,1
269,17,0,2,1,8,2,1
270,28,0,1,2,6,4,0
271,36,1,4,3,10,1,1
272,27,1,4,3,7,3,1
273,34,0,3,1,9,2,1
274,41,0,1,3,10,4,0
275,19,1,3,2,9,1,1
276,27,0,3,2,7,1,1
277,31,1,1,4,8,1,1
278,12,1,4,4,10,4,1
279,18,1,3,3,10,3,1
280,48,1,3,4,6,4,1
281,48,0,4,3,10,3,1
282,34,0,4,4,7,3,1
283,49,0,1,1,6,1,0
284,18,1,2,4,8,2,0
285,35,0,3,2,6,1,0
286,24,0,2,2,10,2,0
287,18,0,3,4,7,1,1
288,25,1,3,3,6,3,1
289,42,0,3,4,10,3,1
290,28,0,2,1,9,4,0
291,25,1,1,4,9,3,1
292,29,1,4,1,8,3,1
293,23,0,1,2,6,2,1
294,27,1,2,3,9,3,0
295,15,1,1,1,6,3,0
296,42,0,2,3,10,1,0
297,48,1,3,2,8,4,0
298,44,0,1,2,7,1,0
299,16,1,2,1,10,3,0
300,41,0,4,1,8,3,0
301,33,0,3,4,10,2,1
302,10,1,3,3,9,2,1
303,43,0,1,4,8,4,1
304,49,1,1,4,9,2,0
305,25,1,4,2,6,1,1
306,48,0,3,1,7,3,0
307,43,0,1,4,6,3,1
308,46,1,4,4,8,3,0
309,20,1,1,2,8,2,0
310,21,1,2,2,7,3,0
311,19,1,4,4,9,2,1
312,38,0,4,2,6,3,0
313,33,0,3,4,10,1,1
314,31,1,2,1,6,3,0
315,32,1,4,2,10,3,1
316,44,1,3,3,8,4,0
317,17,1,3,1,8,2,0
318,33,1,4,4,6,3,1
319,30,0,2,2,8,4,0
320,25,1,4,3,6,2,1
321,46,0,1,2,10,3,0
322,20,1,2,4,8,3,0
323,34,0,4,1,10,2,1
324,40,0,2,2,7,2,0
325,20,0,2,1,9,2,0
326,49,0,2,1,8,4,0
327,44,1,1,1,9,2,1
328,46,0,4,3,9,3,1
329,38,1,1,4,10,2,1
330,18,1,4,3,9,1,1
331,28,1,3,3,8,2,1
332,34,0,2,2,8,3,0
333,45,0,1,2,8,3,0
334,34,1,1,4,6,4,0
335,26,0,4,2,6,1,0
336,36,1,2,2,6,2,0
337,18,0,4,1,9,1,0
338,44,0,3,3,8,4,0
339,32,1,1,1,9,1,0
340,37,1,2,1,7,4,0
341,43,1,2,3,9,3,1
342,31,1,1,4,10,3,0
343,45,0,4,1,7,4,0
344,41,1,2,2,7,1,1
345,16,1,4,4,10,2,1
346,47,0,4,2,6,3,1
347,32,0,4,2,6,1,0
348,33,1,1,2,8,3,0
349,11,0,4,3,8,2,1
350,35,1,4,4,8,1,1
351,18,1,4,2,7,2,1
352,37,1,1,1,9,2,0
353,40,1,3,3,9,2,1
354,18,0,2,4,9,3,1
355,13,1,4,3,8,2,1
356,13,0,4,1,10,1,1
357,16,0,2,2,9,2,1
358,49,1,1,4,10,2,1
359,24,0,2,1,6,4,0
360,13,0,1,2,10,1,0
361,20,1,3,3,10,4,0
362,25,1,2,1,8,2,1
363,38,0,2,3,6,4,0
364,46,1,2,1,8,2,0
365,46,0,2,3,9,2,0
366,37,0,3,1,8,1,0
367,37,1,1,4,9,3,0
368,19,1,2,3,8,4,1
369,28,1,4,3,6,1,1
370,28,0,2,2,7,4,0
371,18,0,4,2,6,4,0
372,21,1,3,3,8,3,0
373,19,0,3,2,9,4,1
374,12,0,2,2,10,2,0
375,38,1,1,3,9,2,0
376,19,1,3,3,10,4,0
377,40,1,2,1,7,4,0
378,48,0,4,3,7,1,1
379,49,0,1,2,7,2,0
380,24,1,2,3,6,3,1
381,28,0,1,3,7,4,0
382,28,1,3,1,7,1,0
383,23,0,1,2,8,4,0
384,35,0,2,1,8,2,0
385,12,0,4,1,8,3,1
386,28,1,2,3,6,1,1
387,32,1,3,2,10,3,1
388,18,1,2,3,6,2,0
389,46,1,3,3,7,4,1
390,36,1,4,3,8,4,1
391,17,0,4,3,7,1,1
392,32,1,4,2,6,1,0
393,41,1,4,4,6,3,0
394,27,0,2,3,7,4,0
395,47,0,3,2,8,3,0
396,20,0,1,3,6,2,1
397,14,1,3,3,7,3,0
398,18,1,4,4,9,2,1
399,14,0,1,2,9,2,0
400,34,1,1,2,7,3,0
401,29,0,4,3,6,3,0
402,46,0,2,3,6,2,0
403,13,1,1,2,10,3,0
404,17,1,3,4,10,1,1
405,21,1,2,2,9,1,1
406,46,0,3,2,9,2,0
407,24,0,3,1,8,2,0
408,15,0,4,3,9,3,1
409,11,1,3,3,6,2,1
410,22,1,1,3,7,4,0
411,48,1,2,4,10,2,1
412,17,0,1,2,8,4,0
413,13,1,2,2,6,4,0
414,22,0,1,4,9,4,1
415,30,0,3,1,10,1,1
416,43,0,4,3,9,3,1
417,32,1,1,2,7,4,0
418,10,1,4,4,6,1,1
419,28,0,1,1,8,3,0
420,21,0,1,3,8,2,1
421,43,1,4,1,6,3,0
422,26,0,4,4,7,2,1
423,28,0,1,2,8,4,0
424,37,0,1,3,8,2,0
425,23,1,3,3,10,2,1
426,32,1,3,4,10,1,1
427,21,1,3,2,6,4,0
428,17,1,4,3,8,4,1
429,45,1,3,3,6,4,0
430,22,1,1,1,10,4,0
431,20,0,2,3,6,3,0
432,22,0,4,4,8,4,1
433,23,0,4,1,8,1,1
434,36,1,3,4,6,2,1
435,23,1,1,3,7,1,1
436,25,1,2,2,9,2,0
437,17,1,3,3,10,3,1
438,49,0,2,1,10,1,0
439,28,0,2,2,7,3,0
440,21,1,1,3,9,3,0
441,24,0,4,4,9,3,0
442,18,1,2,4,9,1,1
443,32,0,3,2,6,3,0
444,13,1,3,3,8,4,1
445,30,0,3,1,10,1,1
446,29,0,1,3,9,1,1
447,18,1,2,3,9,3,1
448,15,0,4,4,7,3,1
449,20,0,3,4,10,4,1
450,44,1,3,3,10,2,0
451,34,0,1,1,10,4,0
452,15,0,1,1,6,3,0
453,48,1,2,3,9,3,0
454,25,1,3,3,9,2,1
455,17,1,2,3,10,4,1
456,29,0,3,1,9,1,0
457,11,1,2,4,9,3,0
458,28,1,2,4,7,4,1
459,15,1,2,2,7,2,0
460,28,0,4,1,7,1,0
461,35,0,4,1,7,3,1
462,13,0,3,3,9,2,1
463,20,0,2,3,10,3,0
464,24,0,4,3,7,3,0
465,27,0,1,4,9,1,1
466,46,0,1,4,8,4,0
467,35,1,4,3,8,1,1
468,44,1,4,3,6,1,1
469,14,0,4,3,9,3,1
470,20,0,1,1,6,3,0
471,31,1,4,2,10,3,1
472,32,1,4,1,7,3,0
473,33,0,2,1,10,3,0
474,26,1,1,4,6,2,0
475,15,0,2,4,10,1,1
476,23,1,1,4,6,4,1
477,41,0,3,2,10,1,1
478,22,1,2,3,6,3,0
479,34,0,3,1,10,2,1
480,40,0,1,2,7,4,0
481,37,0,4,4,6,2,1
482,33,0,3,1,8,2,1
483,24,1,3,3,6,1,0
484,39,1,4,2,9,3,0
485,23,0,2,3,10,1,1
486,33,1,2,3,6,1,1
487,22,1,1,2,10,1,1
488,33,1,3,2,9,4,1
489,19,1,2,4,8,2,1
490,29,1,3,4,8,4,0
491,40,0,3,3,10,2,0
492,14,0,1,3,8,3,1
493,23,1,2,3,8,2,0
494,43,0,3,3,7,2,1
495,32,1,2,2,9,2,0
496,19,0,4,1,10,3,0
497,39,0,3,1,9,2,1
498,36,1,2,1,8,3,0
499,24,1,4,2,7,3,0
500,19,1,4,4,6,1,1
501,21,0,1,3,9,3,1
502,30,1,2,1,8,2,1
503,47,0,1,1,10,3,0
504,18,0,1,2,6,4,0
505,41,1,2,3,7,2,0
506,33,1,2,1,7,2,0
507,30,1,1,4,10,2,1
508,12,1,3,1,9,2,1
509,15,0,1,1,6,3,0
510,39,1,4,4,8,3,0
511,40,1,2,3,9,3,0
512,38,1,2,2,9,1,0
513,39,0,1,2,7,3,0
514,34,1,1,3,6,3,0
515,12,1,4,3,9,2,1
516,40,0,4,2,6,1,1
517,43,0,2,1,9,1,0
518,44,1,1,4,9,1,1
519,42,0,2,4,6,3,1
520,25,0,1,4,8,1,0
521,23,0,1,4,7,2,1
522,21,0,2,1,8,2,0
523,22,1,3,3,10,1,1
524,16,1,1,3,10,2,1
525,33,1,1,1,8,3,0
526,22,1,2,1,8,1,0
527,31,1,4,4,10,1,1
528,19,0,3,1,7,1,0
529,17,1,3,4,9,1,1
530,24,0,1,3,7,2,1
531,45,1,3,4,9,3,0
532,42,0,3,4,8,3,1
533,12,0,2,1,9,2,0
534,12,0,2,4,7,4,0
535,48,0,3,1,7,3,1
536,37,1,1,1,6,3,0
537,10,1,2,4,6,3,1
538,38,1,3,4,6,4,1
539,47,1,2,2,9,3,0
540,40,1,4,4,10,3,1
541,19,1,1,1,7,1,0
542,39,0,4,1,8,2,1
543,26,1,1,1,10,3,0
544,35,1,3,3,7,3,0
545,21,1,2,3,10,3,1
546,33,1,3,4,8,3,1
547,46,0,2,3,7,2,0
548,13,1,2,2,6,3,1
549,41,1,4,2,9,2,0
550,42,1,1,2,8,2,0
551,27,0,3,4,9,3,1
552,49,0,1,3,10,1,1
553,20,1,4,4,9,1,1
554,28,0,1,3,10,2,1
555,19,0,4,3,10,1,1
556,35,1,2,1,6,3,0
557,15,0,4,3,9,3,0
558,47,0,1,1,10,1,0
559,28,0,1,2,9,3,0
560,19,1,3,1,7,4,0
561,46,0,4,4,10,3,1
562,37,0,4,1,10,2,0
563,13,1,3,4,10,2,1
564,36,0,3,2,9,2,1
565,26,0,3,4,10,1,1
566,38,0,2,2,6,1,0
567,20,0,3,4,9,3,1
568,13,1,4,1,7,4,1
569,19,0,1,3,6,4,0
570,28,0,3,3,8,1,0
571,24,0,3,2,9,3,1
572,16,0,1,1,6,2,0
573,33,0,3,1,10,3,1
574,20,0,4,1,8,1,0
575,17,0,1,3,7,1,1
576,14,1,3,2,9,4,0
577,14,1,1,1,10,4,0
578,37,1,3,1,8,2,0
579,28,1,4,3,8,3,1
580,23,0,3,2,6,4,0
581,33,1,3,1,8,1,0
582,29,1,1,2,7,2,1
583,44,0,4,1,7,3,1
584,20,0,1,4,7,1,1
585,38,1,4,2,9,3,0
586,19,1,3,1,10,4,1
587,10,0,4,1,8,3,0
588,39,1,3,3,6,4,1
589,49,0,3,3,9,4,0
590,37,0,3,3,6,3,0
591,40,1,4,1,9,1,0
592,25,1,3,2,9,4,0
593,25,1,1,1,8,2,1
594,41,0,4,1,8,2,0
595,32,0,1,4,9,4,0
596,43,1,4,2,6,2,1
597,20,0,1,1,6,3,0
598,37,1,1,2,8,4,0
599,25,0,3,2,6,3,0
600,37,1,1,1,9,2,0
601,32,1,4,1,8,4,1
602,18,1,4,1,8,2,1
603,28,1,3,3,9,3,1
604,24,1,1,2,7,3,0
605,33,1,4,4,8,2,1
606,18,1,3,2,10,1,1
607,16,0,1,2,7,1,1
608,44,1,4,1,10,4,0
609,14,1,3,2,7,2,0
610,26,0,1,1,8,2,0
611,19,1,1,3,6,4,0
612,31,1,4,2,7,4,1
613,33,0,3,3,7,4,1
614,24,0,3,1,8,3,0
615,43,0,2,3,10,1,1
616,14,0,2,3,6,1,1
617,46,1,4,4,7,4,1
618,13,1,2,3,6,2,1
619,49,1,3,1,8,1,0
620,18,0,4,3,9,1,1
621,25,0,4,1,6,4,0
622,40,0,2,2,8,3,0
623,47,0,2,2,9,2,0
624,29,0,1,3,8,3,0
625,32,1,4,2,7,4,0
626,15,1,2,4,10,3,0
627,33,1,2,3,10,2,0
628,42,1,3,4,10,2,1
629,35,0,4,1,9,4,0
630,37,1,4,4,8,1,1
631,23,1,1,2,8,4,0
632,48,1,4,4,9,4,0
633,26,0,2,3,6,2,0
634,20,1,3,4,7,1,0
635,44,1,1,2,10,4,0
636,48,0,3,2,8,3,0
637,45,0,2,1,8,1,1
638,15,0,4,4,6,2,1
639,13,1,3,1,9,4,0
640,31,0,2,1,7,1,1
641,39,0,2,4,8,1,1
642,20,0,1,2,7,2,0
643,21,0,2,4,9,4,1
644,44,0,4,4,9,3,0
645,15,0,2,4,8,3,0
646,21,0,1,1,6,2,0
647,49,1,2,2,7,2,0
648,34,1,1,2,7,4,0
649,38,0,3,2,10,4,0
650,39,1,3,2,10,4,0
651,13,1,2,4,9,4,0
652,42,1,3,1,7,4,0
653,22,1,2,2,9,4,0
654,41,0,3,4,8,3,0
655,35,0,1,1,9,1,1
656,10,1,3,4,7,3,1
657,46,1,2,2,9,3,0
658,46,1,3,4,6,4,0
659,11,0,4,3,7,2,1
660,32,0,2,2,10,3,0
661,28,1,3,4,7,4,1
662,44,0,3,2,9,4,0
663,46,0,4,1,8,3,0
664,11,0,2,2,10,3,0
665,38,1,4,3,6,3,1
666,27,1,1,2,9,4,0
667,22,0,3,2,8,3,0
668,26,1,3,1,10,2,1
669,24,0,4,2,10,3,0
670,41,1,1,1,6,1,0
671,37,1,1,1,6,4,0
672,45,0,3,4,9,3,0
673,17,1,4,3,7,1,1
674,46,1,2,4,7,1,1
675,24,0,2,1,9,1,0
676,33,0,4,2,10,3,1
677,10,0,1,1,6,4,0
678,30,1,2,1,8,3,0
679,38,1,3,2,8,1,1
680,48,1,1,1,8,3,0
681,42,0,2,2,6,2,0
682,43,1,3,1,9,3,0
683,49,1,1,2,8,4,0
684,35,1,2,1,10,3,0
685,27,0,2,4,8,3,1
686,21,0,3,1,7,4,0
687,22,1,2,1,8,4,0
688,13,0,3,1,9,2,1
689,15,0,3,4,6,4,0
690,23,1,3,3,6,1,1
691,10,0,1,1,10,3,0
692,26,0,3,4,8,4,1
693,43,1,4,4,9,1,1
694,37,0,4,1,9,3,0
695,34,1,2,1,8,2,0
696,33,1,1,3,7,2,1
697,12,0,4,2,10,4,0
698,27,0,2,3,10,4,1
699,24,0,3,3,9,1,0
700,29,1,4,4,10,3,0
701,23,0,1,4,10,2,0
702,21,1,3,1,8,2,1
703,17,1,4,4,10,1,1
704,44,0,4,1,8,4,0
705,28,0,4,4,8,4,1
706,40,1,4,4,6,3,0
707,33,1,4,4,9,3,1
708,31,1,1,1,10,4,0
709,35,0,3,2,6,1,0
710,15,1,4,4,10,3,1
711,32,0,2,2,10,4,0
712,15,0,4,2,8,3,0
713,34,0,1,2,6,2,0
714,28,1,1,3,7,1,1
715,48,0,1,2,10,2,0
716,11,0,3,4,7,2,1
717,31,1,1,3,10,3,1
718,13,0,1,2,7,3,0
719,36,1,2,4,7,4,0
720,18,0,1,2,10,3,0
721,12,1,2,2,10,3,0
722,26,1,3,2,10,4,1
723,25,0,3,1,9,4,0
724,44,0,1,1,7,2,0
725,27,1,3,2,10,2,0
726,34,0,1,4,7,4,1
727,20,0,3,2,10,2,0
728,42,1,4,1,8,1,1
729,29,1,1,1,7,3,0
730,20,1,2,2,6,2,0
731,37,1,1,3,8,3,0
732,48,0,2,4,7,3,0
733,27,0,3,1,6,3,0
734,26,0,4,1,6,1,0
735,12,0,1,2,10,4,0
736,13,0,4,1,9,3,1
737,30,1,3,4,8,1,1
738,17,0,4,2,9,1,0
739,23,1,3,2,6,2,0
740,21,0,2,2,6,1,1
741,44,0,2,1,7,4,0
742,34,0,2,2,6,1,1
743,36,0,1,2,8,4,0
744,31,1,4,1,6,4,0
745,47,0,2,1,9,3,0
746,33,0,3,4,8,4,0
747,22,1,2,2,10,4,0
748,10,0,3,3,8,4,0
749,20,1,2,1,9,3,1
750,19,1,1,2,6,2,0
751,43,0,4,3,10,4,0
752,10,0,1,1,10,2,0
753,26,1,1,1,10,3,0
754,39,0,4,4,8,1,1
755,49,0,1,1,9,4,0
756,48,0,3,1,10,3,0
757,34,0,2,1,9,4,0
758,31,0,4,3,10,4,1
759,23,1,4,3,9,2,1
760,25,1,2,2,9,4,0
761,25,0,4,1,7,4,1
762,18,0,2,1,6,1,0
763,14,1,3,4,10,3,0
764,34,1,4,1,10,3,0
765,41,0,3,4,8,2,0
766,46,0,3,3,10,3,1
767,35,0,2,2,8,4,0
768,28,1,1,3,6,4,0
769,32,0,1,2,8,4,0
770,46,1,1,1,7,4,0
771,41,1,3,2,10,2,0
772,16,1,2,4,6,2,1
773,26,1,4,4,10,4,1
774,19,1,2,3,7,4,1
775,19,1,2,1,6,1,0
776,18,0,2,3,7,3,1
777,10,0,1,3,10,4,0
778,38,0,4,2,10,1,0
779,25,0,4,1,8,1,0
780,48,1,4,2,6,3,0
781,35,0,2,1,7,3,0
782,16,0,2,4,6,2,1
783,11,1,4,2,9,2,0
784,39,1,1,1,8,2,0
785,31,1,3,4,9,2,1
786,21,0,3,4,10,2,1
787,39,1,4,1,6,1,1
788,21,0,4,3,6,1,1
789,35,0,4,2,7,1,1
790,26,0,4,1,9,1,0
791,38,0,2,1,7,3,1
792,19,0,3,2,8,4,1
793,34,0,3,1,8,3,0
794,26,0,2,1,9,3,1
795,40,1,1,2,7,1,0
796,12,1,1,3,8,3,1
797,13,1,3,2,6,2,0
798,41,0,4,1,10,4,0
799,16,0,3,4,8,4,1
800,40,1,4,4,6,1,1
801,49,0,3,3,9,4,0
802,10,1,4,3,7,1,1
803,35,0,1,3,10,3,0
804,41,0,3,2,8,3,0
805,22,1,2,2,7,2,0
806,28,1,2,1,10,3,0
807,25,1,4,1,7,3,1
808,21,1,3,2,10,3,0
809,43,1,3,1,10,3,0
810,35,0,3,1,9,3,0
811,25,1,2,2,6,2,0
812,10,1,2,4,7,4,0
813,15,0,4,3,7,4,0
814,48,1,3,3,7,4,0
815,46,0,1,4,10,2,1
816,38,0,4,2,8,1,0
817,10,0,2,2,9,4,0
818,40,0,4,1,7,3,0
819,20,1,2,1,10,3,0
820,35,1,1,1,8,2,0
821,43,1,3,4,9,4,0
822,37,0,2,4,10,4,0
823,29,1,1,2,8,4,1
824,32,0,3,2,9,2,1
825,44,1,2,1,7,3,0
826,40,0,4,1,6,3,0
827,20,0,4,1,8,2,0
828,18,0,2,3,7,2,0
829,20,0,2,2,8,2,0
830,49,1,4,1,6,4,0
831,45,1,1,4,10,2,1
832,32,1,1,4,8,2,1
833,26,0,4,1,8,3,1
834,20,0,2,4,8,4,1
835,43,1,1,4,9,4,0
836,31,1,3,1,9,2,0
837,31,0,3,2,9,2,0
838,42,1,4,2,7,4,0
839,43,1,4,4,6,1,1
840,47,1,1,3,6,4,0
841,12,0,4,1,9,4,0
842,39,1,3,3,7,4,1
843,48,1,2,1,8,4,0
844,19,1,3,2,6,1,0
845,16,1,4,2,8,2,0
846,28,0,1,3,9,3,1
847,21,1,3,2,7,2,1
848,27,1,2,3,8,3,0
849,44,1,3,2,9,3,1
850,40,0,4,4,8,2,1
851,32,1,2,2,6,1,0
852,22,1,4,1,6,2,1
853,29,0,1,4,7,3,0
854,38,1,3,3,10,4,1
855,22,0,3,3,6,1,1
856,40,0,2,4,9,3,0
857,19,1,3,4,6,4,1
858,45,0,1,1,6,4,0
859,40,0,1,2,8,4,0
860,36,0,3,3,9,2,0
861,35,1,1,3,6,4,0
862,16,1,4,4,6,4,1
863,47,0,3,2,10,1,0
864,15,1,4,4,8,2,1
865,25,1,1,3,7,4,0
866,47,1,3,2,6,3,0
867,34,1,2,1,8,4,0
868,38,0,4,3,8,2,1
869,45,0,3,2,10,3,1
870,48,0,4,4,9,1,1
