,Decile1stYear,Decile3rdYear,LSAT,UndergradGPA,FirstYearGPA,CumulativeGPA,WorkFullTime,FamilyIncome,Sex,Tier,Race,BarExam
66,7,7,36.0,3.5,0.36,0.52,1,2,1.0,4,2,1
67,2,4,46.0,3.5,-1.16,-0.51,1,4,2.0,5,1,1
68,10,10,38.0,3.5,1.61,1.68,1,3,2.0,3,1,1
69,2,4,35.0,3.5,-0.98,-0.46,1,3,1.0,2,1,1
70,5,4,37.0,3.5,-0.1,-0.33,1,3,1.0,3,1,1
71,7,7,37.7,3.5,0.46,0.51,1,3,2.0,4,1,1
72,6,4,43.0,3.5,0.23,-0.44,1,4,1.0,5,1,1
73,6,6,31.0,3.5,0.05,0.18,1,3,1.0,5,2,1
74,5,6,42.0,3.5,-0.02,0.14,1,2,2.0,4,1,1
75,4,7,35.0,3.5,-0.22,0.41,2,3,1.0,3,1,1
76,9,10,43.5,3.5,1.19,1.31,1,5,1.0,5,1,1
77,6,7,29.0,3.5,0.16,0.39,1,4,1.0,2,1,1
78,5,4,38.0,3.5,0.05,-0.35,1,3,2.0,4,1,1
79,6,7,37.0,3.5,0.24,0.52,1,4,1.0,3,1,1
80,7,6,40.0,3.5,0.54,0.08,1,3,1.0,3,1,1
81,2,4,44.0,3.5,-0.95,-0.39,1,3,1.0,6,1,1
82,2,1,43.0,3.5,-1.06,-1.49,1,3,1.0,4,1,1
83,10,9,38.0,3.5,1.32,0.98,1,3,1.0,3,1,1
84,7,6,41.0,3.5,0.35,0.03,1,5,2.0,4,1,1
85,6,9,45.0,3.5,0.15,0.95,1,2,1.0,3,1,0
86,6,5,32.5,3.5,0.28,-0.2,1,4,1.0,3,1,1
87,5,5,35.0,3.5,-0.07,-0.12,1,5,1.0,4,1,1
88,3,5,32.0,3.5,-0.58,-0.07,1,4,2.0,4,1,1
89,5,5,39.0,3.5,0.02,-0.1,1,4,2.0,3,1,1
90,6,3,40.0,3.5,0.14,-0.79,1,4,1.0,5,1,1
91,1,1,45.0,3.5,-1.58,-1.89,1,4,1.0,6,1,1
92,8,9,35.0,3.5,0.86,1.03,1,2,2.0,4,1,1
93,5,4,29.0,3.5,0.05,-0.42,1,3,1.0,3,1,1
94,4,4,46.0,3.5,-0.45,-0.37,1,5,1.0,5,1,1
95,4,4,44.0,3.5,-0.24,-0.34,1,3,2.0,4,1,1
96,6,9,42.0,3.5,0.24,1.29,1,4,2.0,3,1,1
97,9,9,32.0,3.5,0.96,1.06,1,4,2.0,4,1,1
98,3,3,43.0,3.5,-0.66,-0.79,1,4,2.0,5,1,1
99,4,2,30.5,3.5,-0.41,-0.93,1,3,2.0,3,1,1
100,10,10,35.0,3.5,1.43,1.53,1,1,2.0,3,1,1
101,4,3,34.0,3.5,-0.41,-0.65,1,3,1.0,3,1,1
102,5,5,38.0,3.5,0.09,-0.09,1,3,2.0,4,1,1
103,4,6,33.0,3.5,-0.38,0.17,1,3,2.0,5,1,1
104,5,6,36.0,3.5,-0.06,0.16,1,3,1.0,5,1,1
105,9,9,41.0,3.5,1.0,1.09,1,4,1.0,5,1,1
106,8,10,40.0,3.5,0.69,1.47,1,4,2.0,3,1,1
107,6,8,23.3,3.5,0.21,0.5,1,2,1.0,1,2,1
108,9,6,42.0,3.5,1.0,0.03,1,4,2.0,5,1,1
109,10,10,47.0,3.5,1.87,1.68,2,3,1.0,5,1,1
110,7,6,43.0,3.5,0.61,0.07,1,5,1.0,4,1,1
111,3,3,30.0,3.5,-0.64,-0.84,1,4,1.0,3,1,1
112,10,9,38.0,3.5,1.4,1.05,1,4,2.0,3,1,1
113,2,3,44.0,3.5,-1.07,-0.78,1,3,1.0,6,1,1
114,3,3,43.0,3.5,-0.6,-0.57,1,4,1.0,6,1,1
115,4,4,45.0,3.5,-0.38,-0.35,1,4,1.0,3,1,1
116,5,3,38.0,3.5,-0.07,-0.62,1,3,1.0,3,1,1
117,8,7,41.0,3.5,0.58,0.45,1,4,2.0,3,1,1
118,2,4,37.0,3.5,-0.82,-0.52,1,3,1.0,4,1,1
119,4,3,25.0,3.5,-0.26,-0.77,1,5,2.0,4,1,0
120,4,4,40.0,3.5,-0.22,-0.37,1,3,2.0,4,2,1
121,5,6,40.0,3.5,0.04,0.16,1,3,2.0,4,1,1
122,2,2,33.0,3.5,-0.95,-1.09,1,4,1.0,4,1,1
123,8,9,31.5,3.5,0.6,1.03,1,4,2.0,5,1,1
124,3,4,33.0,3.5,-0.57,-0.36,1,3,2.0,5,1,1
125,10,10,43.0,3.5,2.32,2.33,1,4,1.0,3,1,1
126,7,8,39.0,3.5,0.39,0.61,1,4,2.0,3,1,1
127,7,8,43.0,3.5,0.46,0.58,1,3,1.0,5,1,1
128,4,6,39.0,3.5,-0.41,0.02,1,2,2.0,5,1,1
129,8,6,44.0,3.5,0.64,0.22,1,5,1.0,6,1,1
130,3,3,32.0,3.5,-0.47,-0.66,1,4,1.0,2,1,1
131,9,10,35.0,3.5,1.0,1.55,1,3,2.0,2,1,1
132,7,7,42.0,3.5,0.53,0.54,1,3,2.0,6,1,1
133,5,3,33.0,3.5,-0.14,-0.66,1,4,2.0,4,2,1
134,4,4,26.0,3.5,-0.24,-0.36,1,1,2.0,4,1,1
135,2,2,39.0,3.5,-1.11,-0.92,1,4,2.0,4,1,1
136,10,10,35.5,3.5,1.61,1.36,1,4,2.0,5,1,1
137,8,6,33.0,3.5,0.66,0.14,1,3,1.0,4,1,1
138,10,10,42.0,3.5,2.07,2.5,1,4,2.0,2,1,1
139,7,8,32.0,3.5,0.59,0.58,1,2,1.0,1,2,1
140,3,3,37.0,3.5,-0.49,-0.6,1,2,1.0,4,1,1
141,5,6,38.0,3.5,-0.11,0.06,1,4,1.0,3,1,1
142,2,5,42.0,3.5,-0.84,-0.28,1,4,2.0,3,1,1
143,9,10,40.0,3.5,1.22,1.52,1,4,1.0,1,1,1
144,8,4,28.0,3.5,0.66,-0.41,1,3,2.0,5,1,1
145,3,3,45.0,3.5,-0.73,-0.83,1,4,1.0,6,1,1
146,5,4,35.0,3.5,-0.12,-0.54,1,4,2.0,3,1,1
147,5,4,39.0,3.5,-0.08,-0.3,1,4,1.0,4,1,1
148,7,9,39.0,3.5,0.52,0.86,2,2,1.0,5,1,1
149,4,4,39.0,3.5,-0.44,-0.44,1,3,2.0,5,1,1
150,7,8,39.0,3.5,0.31,0.54,1,3,2.0,5,1,1
151,4,2,39.0,3.5,-0.39,-1.31,1,3,1.0,4,1,0
152,7,5,34.0,3.5,0.34,-0.06,1,4,2.0,4,1,1
153,1,3,46.0,3.5,-1.33,-0.67,1,5,1.0,6,1,1
154,5,6,45.0,3.5,0.0,0.07,1,3,2.0,3,1,1
155,2,1,41.0,3.5,-1.1,-1.61,1,4,2.0,5,2,1
156,3,5,32.0,3.5,-0.58,-0.2,1,3,1.0,2,1,1
157,10,10,37.0,3.5,1.36,1.38,1,4,2.0,4,1,1
158,8,8,42.0,3.5,0.69,0.78,1,4,2.0,5,1,1
159,9,7,29.0,3.5,0.94,0.38,1,3,1.0,3,1,1
160,5,5,34.0,3.5,0.05,-0.05,1,3,1.0,3,1,1
161,10,10,40.0,3.5,1.49,1.57,1,3,1.0,3,1,1
162,1,1,41.0,3.5,-1.64,-1.44,1,5,2.0,4,1,1
163,9,10,44.0,3.5,1.37,1.4,1,4,1.0,6,1,1
164,6,4,36.0,3.5,0.22,-0.36,1,4,1.0,4,1,1
165,10,10,31.0,3.5,1.35,1.81,1,3,1.0,3,1,1
166,2,3,32.5,3.5,-0.84,-0.61,1,2,2.0,5,2,1
167,4,6,40.0,3.5,-0.28,0.14,1,3,1.0,5,1,1
168,7,6,36.0,3.5,0.34,0.22,1,4,2.0,3,1,1
169,4,8,41.0,3.5,-0.17,0.65,1,3,1.0,4,1,1
170,7,8,33.0,3.5,0.54,0.87,1,4,2.0,3,1,1
171,5,4,32.0,3.5,-0.07,-0.34,1,3,2.0,3,1,1
172,7,9,44.0,3.5,0.49,0.98,1,4,1.0,5,1,1
173,5,7,42.0,3.5,-0.02,0.44,1,4,2.0,5,1,1
174,9,8,39.0,3.5,1.24,0.59,1,3,2.0,3,1,1
175,4,5,48.0,3.5,-0.19,-0.09,1,4,2.0,4,1,1
176,9,7,42.0,3.5,1.07,0.37,1,4,1.0,4,1,1
177,7,7,38.0,3.5,0.56,0.55,1,4,1.0,4,1,1
178,8,9,39.0,3.5,0.86,0.99,1,4,2.0,6,1,1
179,10,10,42.0,3.5,1.78,2.14,1,4,1.0,6,1,1
180,5,4,46.0,3.5,-0.12,-0.45,1,4,2.0,6,2,1
181,7,7,41.0,3.5,0.4,0.28,1,4,1.0,5,1,1
182,9,8,39.0,3.5,1.08,0.64,1,3,1.0,4,1,1
183,9,8,32.0,3.5,1.12,0.72,1,4,2.0,3,1,1
184,3,4,40.0,3.5,-0.63,-0.45,1,3,2.0,5,1,1
185,9,9,42.0,3.5,1.09,0.95,2,4,2.0,3,1,1
186,8,8,40.5,3.5,0.58,0.72,1,4,1.0,5,1,1
187,6,3,41.0,3.5,0.25,-0.57,1,3,1.0,4,1,1
188,7,4,38.0,3.5,0.38,-0.3,1,4,1.0,3,1,1
189,5,6,33.0,3.5,-0.13,-0.01,1,3,2.0,3,1,1
190,4,7,37.0,3.5,-0.33,0.42,1,3,1.0,4,1,1
191,9,9,41.0,3.5,0.92,0.86,1,4,2.0,5,1,1
192,5,5,37.0,3.5,0.06,-0.02,1,3,2.0,4,1,1
193,7,3,39.5,3.5,0.37,-0.65,1,3,2.0,3,1,1
194,4,6,39.0,3.5,-0.24,0.22,1,2,2.0,4,1,1
195,3,2,33.0,3.5,-0.55,-1.17,1,4,1.0,3,1,1
196,4,3,35.5,3.5,-0.29,-0.68,1,3,1.0,3,1,1
197,10,10,32.0,3.5,1.38,1.42,1,3,2.0,3,1,1
198,10,10,41.0,3.5,1.44,1.83,1,4,2.0,4,1,1
199,1,2,34.0,3.5,-1.12,-1.14,1,2,2.0,3,1,1
200,9,9,33.0,3.5,0.96,0.97,1,2,1.0,5,1,1
201,4,4,41.0,3.5,-0.29,-0.37,1,4,2.0,4,1,1
202,7,8,34.0,3.5,0.35,0.76,1,2,1.0,5,1,1
203,6,7,31.0,3.5,0.22,0.27,1,3,2.0,3,1,1
204,1,2,47.0,3.5,-1.49,-1.03,1,3,2.0,6,1,1
205,7,9,37.0,3.5,0.45,1.14,1,3,2.0,5,1,1
206,5,4,31.0,3.5,-0.18,-0.44,1,4,2.0,2,1,1
207,2,1,31.0,3.5,-1.06,-1.48,1,3,1.0,5,1,1
208,10,10,48.0,3.5,2.08,1.45,1,5,1.0,4,1,1
209,3,5,47.0,3.5,-0.62,-0.1,1,3,1.0,4,1,1
210,7,9,42.0,3.5,0.51,0.93,1,3,1.0,2,1,1
211,8,9,34.0,3.5,0.64,0.95,1,3,2.0,4,2,1
212,9,9,31.5,3.5,0.89,1.03,1,2,2.0,2,1,1
213,10,10,34.0,3.5,2.56,2.18,1,3,2.0,3,1,1
214,7,6,46.0,3.5,0.47,0.06,1,4,1.0,5,1,1
215,1,1,31.0,3.5,-1.54,-1.86,1,3,2.0,4,1,0
216,2,2,36.0,3.5,-0.98,-1.12,1,4,2.0,3,1,1
217,4,7,46.0,3.5,-0.17,0.39,1,4,1.0,6,1,1
218,10,10,43.0,3.5,1.67,1.65,2,4,1.0,3,1,1
219,8,9,46.0,3.5,0.81,1.25,1,4,2.0,5,1,1
220,4,4,22.0,3.5,-0.37,-0.48,1,4,2.0,3,2,0
221,6,7,32.0,3.5,0.07,0.4,2,3,1.0,5,1,1
222,4,5,38.0,3.5,-0.3,-0.26,2,2,2.0,4,1,1
223,7,7,48.0,3.5,0.58,0.3,1,4,1.0,6,1,1
224,8,7,38.0,3.5,0.86,0.4,1,3,1.0,4,1,1
225,2,7,33.0,3.5,-0.88,0.36,2,3,1.0,4,1,1
226,4,6,42.0,3.5,-0.31,0.08,1,3,2.0,4,1,1
227,3,3,38.0,3.5,-0.6,-0.75,1,3,2.0,4,2,1
228,7,5,42.0,3.5,0.54,-0.11,1,5,2.0,5,1,1
229,5,7,38.0,3.5,-0.06,0.31,1,4,1.0,5,1,1
230,3,4,39.5,3.5,-0.52,-0.29,1,4,1.0,4,1,1
231,9,8,29.0,3.5,0.85,0.84,1,4,1.0,2,1,1
232,1,1,30.0,3.5,-1.6,-1.97,1,3,2.0,3,2,1
233,3,1,42.0,3.5,-0.52,-1.36,1,5,1.0,6,1,1
234,6,8,36.0,3.5,0.22,0.61,1,3,2.0,3,1,1
235,8,8,37.0,3.5,0.87,0.81,1,3,2.0,4,1,1
236,9,8,38.0,3.5,0.89,0.77,1,3,1.0,5,2,1
237,6,5,45.0,3.5,0.08,-0.22,1,3,1.0,5,1,1
238,4,4,43.0,3.5,-0.35,-0.31,1,1,2.0,4,1,1
239,10,8,37.0,3.5,1.34,0.8,2,4,2.0,3,1,1
240,9,9,39.0,3.5,0.89,0.89,1,4,2.0,5,1,1
241,5,8,38.0,3.5,-0.13,0.72,1,4,1.0,4,1,1
242,1,1,30.0,3.5,-1.75,-2.22,1,5,2.0,3,1,1
243,6,5,33.0,3.5,0.14,-0.08,1,4,2.0,3,1,1
244,10,10,39.0,3.5,1.83,1.69,1,3,2.0,4,1,1
245,4,6,42.0,3.5,-0.27,0.18,1,4,1.0,3,1,1
246,2,1,36.0,3.5,-0.87,-1.34,1,3,1.0,4,1,0
247,8,7,30.5,3.5,0.73,0.46,1,3,2.0,2,1,1
248,1,2,36.0,3.5,-1.45,-0.93,2,4,2.0,3,1,1
249,9,8,45.0,3.5,0.9,0.7,1,4,2.0,5,1,1
250,2,2,29.0,3.5,-0.71,-1.23,1,5,1.0,3,1,1
251,6,8,43.0,3.5,0.28,0.71,1,5,1.0,3,1,1
252,8,7,48.0,3.5,0.71,0.51,1,4,1.0,6,1,1
253,8,10,35.5,3.5,0.65,1.56,1,4,1.0,3,1,1
254,8,5,40.0,3.5,0.8,-0.03,1,3,2.0,5,1,1
255,6,4,40.0,3.5,0.12,-0.28,1,2,2.0,4,1,1
256,10,10,38.0,3.5,2.54,2.64,2,1,2.0,5,1,1
257,1,1,44.0,3.5,-1.98,-2.04,1,3,1.0,4,1,1
258,5,7,33.0,3.5,0.01,0.45,1,5,2.0,3,2,1
259,3,4,34.0,3.5,-0.48,-0.24,1,4,1.0,6,2,1
260,6,6,37.0,3.5,0.2,0.28,1,4,1.0,4,1,1
261,8,8,38.0,3.5,0.84,0.61,1,4,1.0,3,1,1
262,6,6,44.0,3.5,0.14,0.04,1,4,1.0,5,1,1
263,8,9,39.0,3.5,0.86,0.86,1,5,2.0,6,1,1
264,2,3,26.0,3.5,-0.82,-0.6,1,3,2.0,4,2,1
265,9,10,40.0,3.5,1.13,1.49,1,4,2.0,3,1,1
266,10,9,43.5,3.5,1.84,1.05,1,3,1.0,6,1,1
267,5,7,37.0,3.5,-0.11,0.55,1,4,2.0,4,1,1
268,1,1,40.0,3.5,-1.57,-1.83,1,4,1.0,5,1,1
269,3,6,41.0,3.5,-0.48,0.24,1,4,2.0,3,1,1
270,10,6,39.0,3.5,2.3,0.23,1,3,1.0,6,1,1
271,3,6,30.5,3.5,-0.5,0.24,1,4,1.0,4,1,1
272,4,5,34.0,3.5,-0.3,-0.18,1,3,2.0,3,1,1
273,9,7,36.0,3.5,0.9,0.42,1,4,1.0,3,1,1
274,8,8,46.0,3.5,0.59,0.76,1,3,2.0,5,1,1
275,3,3,37.0,3.5,-0.58,-0.6,1,3,2.0,4,1,0
276,2,3,44.0,3.5,-0.73,-0.85,1,3,2.0,3,1,1
277,2,6,43.0,3.5,-0.83,0.18,1,1,2.0,5,1,1
278,3,1,32.0,3.5,-0.51,-1.33,1,3,1.0,3,2,1
279,4,6,42.0,3.5,-0.43,0.11,1,4,2.0,5,1,1
280,7,9,42.0,3.5,0.48,1.07,1,4,2.0,6,1,1
281,1,2,45.0,3.5,-1.49,-1.2,1,4,2.0,6,1,1
282,5,3,35.5,3.5,-0.13,-0.77,1,3,2.0,3,1,1
283,10,10,34.0,3.5,1.55,1.91,1,4,2.0,3,1,1
284,10,9,39.0,3.5,1.44,1.06,1,4,1.0,4,1,1
285,5,3,44.0,3.5,-0.18,-0.56,1,4,2.0,5,1,1
286,7,4,35.0,3.5,0.46,-0.31,2,4,2.0,3,1,1
287,3,4,37.0,3.5,-0.73,-0.44,1,4,2.0,4,1,1
288,9,9,33.0,3.5,0.88,0.88,1,3,2.0,5,1,1
289,6,7,35.0,3.5,0.17,0.46,1,3,1.0,3,1,1
290,4,5,38.0,3.5,-0.27,-0.06,1,5,1.0,5,1,1
291,2,2,37.0,3.5,-1.03,-1.24,1,2,2.0,3,1,1
292,5,8,40.0,3.5,-0.14,0.66,1,4,2.0,5,1,1
293,4,3,33.0,3.5,-0.24,-0.68,1,3,1.0,3,1,1
294,8,5,38.5,3.5,0.69,-0.21,1,4,1.0,3,1,1
295,5,5,33.0,3.5,-0.12,-0.24,1,4,2.0,4,1,1
296,1,1,45.0,3.5,-1.7,-1.38,1,4,1.0,5,1,1
297,2,2,30.0,3.5,-1.08,-1.22,1,3,1.0,6,1,1
298,7,7,31.0,3.5,0.59,0.44,1,2,2.0,4,1,1
299,10,10,40.0,3.5,2.34,2.05,1,2,2.0,4,1,1
300,9,9,46.0,3.5,1.08,1.21,1,4,1.0,6,1,1
301,7,5,44.0,3.5,0.46,-0.06,1,5,1.0,4,2,1
302,7,7,28.0,3.5,0.35,0.47,1,2,1.0,3,1,1
303,5,6,37.0,3.5,0.01,0.1,1,4,2.0,4,1,1
304,3,2,34.0,3.5,-0.66,-1.19,1,5,1.0,3,1,1
305,4,2,29.0,3.5,-0.08,-1.0,1,3,2.0,1,1,1
306,5,5,35.0,3.5,0.03,-0.28,1,4,1.0,3,1,1
307,2,4,28.0,3.5,-0.81,-0.37,1,4,2.0,3,2,1
308,4,4,38.0,3.5,-0.21,-0.26,1,4,1.0,4,1,1
309,3,3,36.3,3.5,-0.56,-0.79,1,2,1.0,4,1,1
310,10,10,41.0,3.5,1.55,1.63,1,3,1.0,3,1,1
311,3,3,46.0,3.5,-0.78,-0.7,1,4,1.0,6,1,1
312,6,7,38.0,3.5,0.23,0.4,1,4,1.0,5,1,1
313,6,2,37.0,3.5,0.11,-0.95,1,4,1.0,3,1,1
314,10,9,37.0,3.5,1.43,0.97,1,4,1.0,3,1,1
315,3,3,42.0,3.5,-0.69,-0.79,1,4,1.0,4,1,1
316,4,2,37.5,3.5,-0.21,-1.15,1,3,2.0,3,1,0
317,2,2,34.0,3.5,-0.84,-1.1,1,3,2.0,5,1,1
318,4,3,45.0,3.5,-0.21,-0.54,1,2,1.0,4,1,1
319,7,7,39.0,3.5,0.31,0.42,1,4,2.0,3,1,1
320,8,8,38.0,3.5,0.71,0.6,1,4,1.0,4,1,1
321,2,1,48.0,3.5,-1.17,-1.57,1,3,1.0,5,1,1
322,1,3,42.0,3.5,-1.17,-0.87,1,4,2.0,4,1,1
323,5,5,44.0,3.5,0.06,0.0,1,4,1.0,6,1,1
324,3,3,42.0,3.5,-0.67,-0.77,1,4,2.0,6,1,1
325,9,9,35.0,3.5,0.96,1.11,1,3,2.0,4,1,1
326,7,7,38.0,3.5,0.55,0.42,1,3,2.0,3,1,1
327,9,9,40.0,3.5,1.03,1.28,1,5,2.0,2,1,1
328,2,2,41.0,3.5,-0.8,-0.96,1,3,2.0,4,1,1
329,5,5,41.0,3.5,0.02,-0.06,1,4,1.0,4,1,1
330,5,6,40.0,3.5,-0.06,0.03,1,5,1.0,4,1,1
331,3,5,37.5,3.5,-0.63,-0.23,1,3,2.0,4,1,1
332,3,3,44.0,3.5,-0.56,-0.68,1,4,2.0,5,1,1
333,5,7,41.0,3.5,0.08,0.34,1,3,1.0,4,1,1
334,5,5,45.0,3.5,-0.13,0.01,1,3,2.0,4,1,1
335,1,1,40.0,3.5,-1.25,-2.08,1,3,1.0,3,1,1
336,5,5,40.0,3.5,-0.06,-0.23,1,2,1.0,4,1,1
337,4,4,24.0,3.5,-0.39,-0.27,1,3,2.0,4,2,1
338,6,6,36.0,3.5,0.17,0.07,1,3,1.0,5,2,1
339,5,5,32.0,3.5,-0.13,-0.21,1,2,2.0,3,2,1
340,6,8,34.0,3.5,0.19,0.64,1,3,2.0,3,1,1
341,3,3,38.0,3.5,-0.62,-0.88,1,4,1.0,3,1,1
342,10,7,35.5,3.5,1.48,0.46,1,4,1.0,6,1,1
343,5,4,34.0,3.5,-0.06,-0.3,1,4,2.0,4,1,1
344,2,4,30.0,3.5,-0.81,-0.45,1,4,2.0,3,1,1
345,4,4,37.0,3.5,-0.21,-0.52,1,2,2.0,2,1,1
346,6,2,36.0,3.5,0.12,-0.94,1,3,2.0,4,1,1
347,6,6,47.0,3.5,0.15,0.08,1,5,2.0,5,1,1
348,6,6,27.0,3.5,0.24,0.06,1,4,1.0,3,1,1
349,4,4,40.0,3.5,-0.35,-0.46,1,3,1.0,5,1,1
350,3,10,34.0,3.5,-0.52,1.55,1,4,1.0,3,1,1
351,3,6,30.0,3.5,-0.6,0.01,1,3,1.0,4,1,1
352,7,8,36.0,3.5,0.5,0.63,1,5,2.0,6,1,1
353,10,10,38.0,3.5,2.36,2.21,1,4,2.0,3,1,1
354,8,8,48.0,3.5,0.61,0.72,1,4,1.0,5,1,1
355,4,3,36.0,3.5,-0.41,-0.76,1,5,1.0,3,1,1
356,3,2,36.0,3.5,-0.57,-0.97,1,4,2.0,4,1,1
357,4,4,44.0,3.5,-0.21,-0.37,1,3,2.0,4,2,1
358,3,1,38.0,3.5,-0.6,-1.38,1,2,1.0,4,1,1
359,6,7,28.0,3.5,0.17,0.51,1,3,1.0,5,1,1
360,9,8,38.0,3.5,1.21,0.56,1,5,1.0,5,1,1
361,7,4,39.0,3.5,0.37,-0.34,1,4,1.0,5,1,1
362,6,8,35.0,3.5,0.15,0.76,1,4,2.0,5,1,1
363,5,6,34.5,3.5,-0.15,0.01,1,3,1.0,3,1,1
364,2,3,30.0,3.5,-0.83,-0.57,1,2,2.0,5,1,1
365,8,9,28.0,3.5,0.64,0.88,1,4,1.0,3,1,1
366,6,5,42.0,3.5,0.05,-0.17,1,4,1.0,5,1,1
367,2,1,33.0,3.5,-1.15,-1.4,1,3,2.0,6,2,1
368,5,4,40.0,3.5,-0.07,-0.52,1,4,1.0,4,1,1
369,2,3,41.0,3.5,-0.86,-0.79,1,4,2.0,4,1,0
370,6,6,34.0,3.5,0.07,0.05,1,4,2.0,3,1,1
371,7,8,38.5,3.5,0.52,0.56,1,4,1.0,4,1,1
372,7,7,41.0,3.5,0.39,0.46,1,3,2.0,4,1,1
373,2,4,43.0,3.5,-1.14,-0.25,1,4,2.0,5,2,1
