,NoDefaultNextMonth (label),isMale,isMarried,AgeGroup,EducationLevel,MaxBillAmountOverLast6Months,MaxPaymentAmountOverLast6Months,MonthsWithZeroBalanceOverLast6Months,MonthsWithLowSpendingOverLast6Months,MonthsWithHighSpendingOverLast6Months,MostRecentBillAmount,MostRecentPaymentAmount,TotalOverdueCounts,TotalMonthsOverdue,HasHistoryOfOverduePayments
41,1,1,0,1.0,3,180,90,0,1,0,60,50,1,1,0
42,1,0,1,2.0,3,2130,120,0,0,0,1820,90,1,1,0
43,1,0,0,2.0,4,890,150,0,0,0,580,90,2,3,1
44,0,1,0,2.0,4,0,0,0,6,0,0,0,1,1,0
45,0,0,0,1.0,4,510,510,1,1,3,430,90,2,3,1
46,0,0,0,3.0,1,140,40,0,6,0,140,30,1,1,0
47,1,1,0,2.0,3,980,750,1,6,0,680,660,1,1,0
48,1,1,0,1.0,4,630,40,0,0,6,530,40,1,1,0
49,0,1,0,3.0,2,1200,90,0,0,0,1130,0,2,10,1
50,1,0,1,3.0,3,410,340,1,6,0,410,240,1,1,0
51,1,0,0,2.0,4,1380,60,0,0,0,1260,40,2,4,1
52,1,0,0,2.0,4,1410,150,0,3,0,1410,50,2,3,1
53,1,0,1,3.0,4,110,110,2,6,0,60,110,1,1,0
54,1,0,1,2.0,2,500,270,1,6,0,500,260,1,1,0
55,1,0,1,2.0,3,5370,250,0,0,4,5370,250,1,1,0
56,1,0,0,2.0,4,50,40,1,6,0,50,0,2,12,1
57,1,0,1,2.0,3,12340,920,0,0,6,12220,520,1,1,0
58,0,0,1,2.0,2,720,60,0,6,0,700,50,1,1,0
59,1,1,1,2.0,3,2200,120,0,1,3,2160,120,1,1,0
60,0,1,0,2.0,4,860,80,0,0,0,760,0,2,13,1
61,0,0,1,3.0,3,890,30,0,4,0,880,30,1,1,0
62,1,0,1,3.0,3,70,70,1,6,0,0,0,1,1,0
63,0,1,1,3.0,4,4660,250,0,3,0,4660,0,2,5,1
64,0,1,1,3.0,3,130,70,1,1,0,60,70,2,7,1
65,1,0,0,2.0,4,130,130,3,6,0,10,10,2,3,1
66,1,0,0,2.0,2,310,620,4,6,0,0,0,3,4,1
67,1,1,0,1.0,1,570,40,0,0,4,570,0,2,3,1
68,1,1,0,2.0,4,20,10,1,6,0,20,0,1,1,0
69,0,1,0,2.0,3,1940,150,0,6,0,1780,80,2,13,1
70,1,0,1,2.0,3,280,280,1,6,0,280,180,2,3,1
71,1,0,0,2.0,4,100,100,2,6,0,0,0,2,2,1
72,1,1,0,2.0,4,2450,2460,3,5,0,90,170,1,1,0
73,1,1,0,1.0,3,570,90,0,0,5,450,90,2,3,1
74,1,1,0,2.0,2,1310,50,0,2,1,1310,50,1,1,0
75,1,0,1,3.0,4,10,10,0,6,0,10,10,1,1,0
76,0,0,0,1.0,3,930,90,0,0,5,870,50,1,1,0
77,0,0,0,3.0,3,0,0,0,6,0,0,0,2,2,1
78,1,0,0,2.0,4,5500,4490,2,5,0,710,150,1,1,0
79,0,1,0,2.0,2,860,50,0,0,0,800,50,1,1,0
80,1,0,1,3.0,3,4250,330,0,0,0,4020,330,2,3,1
81,1,0,0,3.0,2,1490,50,0,0,2,1490,50,1,1,0
82,1,1,0,2.0,3,3970,2440,1,0,1,3970,130,1,1,0
83,0,0,1,3.0,4,40,40,1,6,0,10,40,2,3,1
84,1,0,0,2.0,3,260,70,1,6,0,120,40,1,1,0
85,1,0,1,2.0,4,3600,1220,2,4,1,2480,1220,1,1,0
86,1,1,0,3.0,2,380,60,0,0,0,260,0,3,7,1
87,0,1,1,3.0,4,4570,190,0,0,0,4220,190,2,13,1
88,1,0,0,2.0,4,230,120,1,6,0,230,0,1,1,0
89,1,0,0,2.0,4,170,230,1,6,0,0,230,1,1,0
90,1,0,1,2.0,3,50,240,2,6,0,30,50,1,1,0
91,1,0,0,1.0,3,1440,60,0,0,0,1390,60,1,1,0
92,1,1,0,2.0,3,2680,110,0,0,3,2560,110,1,1,0
93,1,1,1,3.0,4,810,2110,4,6,0,120,250,1,1,0
94,1,1,0,2.0,4,2740,310,0,0,0,2630,120,1,1,0
95,1,0,1,1.0,2,570,40,0,2,0,570,40,1,1,0
96,0,1,1,2.0,3,600,50,0,1,5,550,50,1,1,0
97,1,1,0,2.0,4,310,310,2,6,0,20,310,1,1,0
98,1,0,0,2.0,4,1040,1010,2,6,0,0,10,1,1,0
99,1,1,1,4.0,4,14870,1700,0,0,6,12890,490,2,5,1
100,0,0,0,1.0,2,1360,50,0,0,2,1360,50,1,1,0
101,1,0,0,2.0,3,1840,150,0,0,6,1730,0,2,11,1
102,1,0,0,1.0,3,810,810,1,5,0,170,0,1,1,0
103,1,0,1,2.0,3,190,100,1,6,0,190,90,1,1,0
104,1,1,0,3.0,4,160,160,4,6,0,20,70,1,1,0
105,1,1,0,2.0,3,5450,4090,2,0,4,5230,330,1,1,0
106,1,1,1,2.0,3,0,0,0,6,0,0,0,2,2,1
107,1,0,1,2.0,4,3310,480,0,0,0,3230,280,2,3,1
108,1,1,1,3.0,2,530,60,0,0,0,400,60,2,3,1
109,1,1,1,3.0,3,4650,450,0,0,0,4140,200,2,14,1
110,1,0,0,1.0,4,1840,160,0,0,0,1590,60,1,1,0
111,1,1,0,3.0,3,620,40,0,0,0,580,40,1,1,0
112,0,1,0,1.0,4,650,90,0,0,0,560,0,3,8,1
113,1,1,0,2.0,4,170,170,2,6,0,10,10,1,1,0
114,0,1,0,2.0,3,560,60,0,2,0,430,60,2,3,1
115,1,1,1,2.0,3,600,450,2,6,0,600,300,1,1,0
116,1,0,0,2.0,3,1620,90,0,2,0,1530,60,1,1,0
117,0,1,0,2.0,2,1560,120,0,0,6,1400,30,2,14,1
118,0,1,1,3.0,4,0,0,0,6,0,0,0,2,2,1
119,1,0,1,3.0,4,0,0,0,6,0,0,0,2,2,1
120,0,0,1,2.0,3,9500,400,0,0,4,9310,400,2,3,1
121,1,1,0,2.0,4,600,40,0,0,5,580,40,1,1,0
122,1,1,0,1.0,3,0,0,0,6,0,0,0,2,2,1
123,1,1,0,3.0,2,3360,120,0,0,0,3360,110,1,1,0
124,0,1,1,2.0,4,5000,140,0,0,1,5000,140,1,1,0
125,0,1,1,3.0,3,220,50,0,6,0,100,30,1,1,0
126,1,1,1,3.0,2,1880,80,0,0,3,1850,80,2,8,1
127,1,0,0,1.0,4,420,420,2,5,0,120,170,2,2,1
128,1,1,0,3.0,4,100,100,3,6,0,0,80,2,2,1
129,1,1,1,2.0,3,7740,350,0,0,0,7740,300,1,1,0
130,1,1,1,3.0,2,7010,260,0,0,0,6940,250,1,1,0
131,1,0,0,1.0,3,870,60,1,1,4,870,60,1,1,0
132,1,1,1,2.0,3,430,50,0,6,0,330,50,2,7,1
133,1,1,0,2.0,4,920,150,0,5,0,530,80,1,1,0
134,1,0,1,2.0,3,280,60,0,6,0,220,50,1,1,0
135,0,0,1,3.0,2,180,180,1,6,0,20,10,1,1,0
136,1,1,0,1.0,4,1550,70,0,0,3,1550,70,1,1,0
137,0,1,0,3.0,4,0,0,0,6,0,0,0,2,2,1
138,1,1,0,2.0,3,60,110,4,6,0,60,0,1,1,0
139,1,1,0,1.0,3,630,310,0,0,0,310,30,2,8,1
140,1,1,0,2.0,3,480,480,1,6,0,370,310,1,1,0
141,1,1,0,2.0,4,480,480,3,4,0,40,480,1,1,0
142,1,1,0,2.0,4,320,60,0,4,0,150,30,2,4,1
143,0,0,0,2.0,3,640,50,0,6,0,590,50,1,1,0
144,1,1,0,2.0,4,6020,1690,0,0,2,6020,240,2,4,1
145,1,0,1,1.0,3,370,60,0,6,0,280,50,2,9,1
146,1,0,1,4.0,4,650,690,3,6,0,0,0,2,2,1
147,1,1,1,2.0,3,2650,150,0,0,0,2650,110,2,3,1
148,1,1,0,2.0,4,1700,920,0,0,0,1300,920,1,1,0
149,1,1,0,3.0,4,90,90,1,6,0,10,90,2,2,1
150,1,0,1,3.0,3,6370,3050,0,0,0,6370,250,1,1,0
151,1,0,0,2.0,2,430,50,0,0,0,280,50,1,1,0
152,1,1,1,2.0,4,1490,360,0,1,0,730,150,1,1,0
153,1,0,0,2.0,4,3220,150,0,0,0,3220,120,1,1,0
154,1,0,0,2.0,2,5990,230,0,0,4,5990,220,1,1,0
155,0,1,1,3.0,2,4710,360,0,0,0,3540,320,2,25,1
156,1,1,1,3.0,2,430,50,0,0,0,390,0,2,6,1
157,1,1,0,3.0,4,860,110,0,0,6,740,110,2,11,1
158,1,1,0,2.0,3,30,30,2,6,0,10,10,3,5,1
159,1,1,1,3.0,2,40,20,1,6,0,40,10,1,1,0
160,1,0,1,2.0,4,4890,550,0,0,0,4310,550,2,3,1
161,1,0,1,3.0,3,850,90,0,0,0,650,90,1,1,0
162,1,0,0,2.0,4,3200,170,0,0,3,3100,170,1,1,0
163,1,1,0,3.0,4,470,470,3,6,0,190,470,1,1,0
164,1,1,1,2.0,3,3130,1530,1,1,2,3130,100,2,5,1
165,1,0,1,2.0,3,2700,310,0,0,5,2200,110,2,3,1
166,1,0,0,1.0,3,900,50,0,0,0,860,50,1,1,0
167,1,1,0,2.0,3,1150,150,0,6,0,1150,150,1,1,0
168,1,0,0,2.0,4,130,130,2,6,0,20,100,1,1,0
169,1,0,0,1.0,3,470,460,3,4,0,260,460,1,1,0
170,0,0,0,1.0,4,0,0,6,6,0,0,0,2,2,1
171,1,1,0,2.0,4,0,0,0,6,0,0,0,2,2,1
172,0,1,1,3.0,2,2220,170,0,0,0,1970,90,2,13,1
173,1,1,0,2.0,4,190,110,3,6,0,190,20,1,1,0
174,1,1,0,2.0,3,1490,60,0,0,3,1490,0,3,6,1
175,1,0,0,1.0,3,490,50,0,0,1,490,40,1,1,0
176,1,0,1,2.0,3,2500,180,0,2,3,2380,180,2,3,1
177,1,1,0,2.0,4,810,2010,2,6,0,370,460,2,3,1
178,1,0,0,2.0,2,1510,380,0,2,0,1510,380,1,1,0
179,1,0,1,3.0,4,3750,2140,1,2,0,1720,2140,1,1,0
180,0,0,1,1.0,3,1770,90,0,0,3,1770,80,1,1,0
181,1,1,0,2.0,3,400,60,1,2,0,320,40,1,1,0
182,0,0,1,2.0,3,500,50,0,6,0,440,0,3,6,1
183,1,0,0,2.0,4,2090,2090,4,6,0,80,1740,2,2,1
184,0,0,0,3.0,2,6200,250,0,0,6,6090,250,2,13,1
185,1,0,1,2.0,3,450,160,1,6,0,0,160,2,2,1
186,1,0,0,2.0,3,660,30,0,0,6,660,0,2,20,1
187,1,1,0,2.0,4,2010,310,0,3,0,1830,310,1,1,0
188,0,0,0,2.0,4,700,60,0,0,0,600,40,3,5,1
189,1,0,0,2.0,4,530,530,1,6,0,350,10,1,1,0
190,1,0,0,1.0,4,670,1160,1,6,0,450,1160,2,3,1
191,1,1,1,2.0,3,1460,610,3,3,1,1460,60,1,1,0
192,0,0,0,1.0,4,1220,60,0,0,0,1100,60,2,12,1
193,1,0,1,2.0,3,50,50,1,6,0,0,0,1,1,0
194,1,0,0,1.0,4,590,610,1,0,5,570,50,1,1,0
195,1,0,1,2.0,4,70,480,2,6,0,10,0,1,1,0
196,0,0,0,1.0,2,910,50,0,2,4,890,30,2,6,1
197,1,0,1,2.0,4,20,0,0,6,0,20,0,1,1,0
198,1,1,0,2.0,4,840,760,0,6,0,830,760,3,5,1
199,1,0,0,2.0,4,550,410,2,6,0,410,310,1,1,0
200,1,1,0,2.0,3,3730,150,0,0,6,3280,150,1,1,0
201,1,0,1,3.0,3,7150,280,0,0,0,6910,280,1,1,0
202,1,1,1,3.0,2,620,680,1,1,5,10,680,1,1,0
203,1,1,1,3.0,4,40,70,2,6,0,10,40,1,1,0
204,0,0,1,3.0,3,110,110,2,6,0,90,50,1,1,0
205,0,0,0,1.0,3,2490,100,0,0,3,2490,100,1,1,0
206,1,0,1,3.0,4,270,130,1,6,0,270,130,1,1,0
207,1,1,0,1.0,4,3410,2610,1,2,0,3220,150,1,1,0
208,0,0,1,2.0,4,40,290,4,6,0,0,0,2,2,1
209,1,0,1,3.0,2,1190,50,0,0,5,1170,50,1,1,0
210,1,1,0,2.0,3,870,90,0,0,2,870,90,2,3,1
211,1,1,0,2.0,3,14660,400,0,0,1,9060,400,2,9,1
212,1,1,1,3.0,2,40,40,1,6,0,10,10,2,3,1
213,0,0,1,2.0,3,0,0,6,6,0,0,0,2,2,1
214,1,1,0,2.0,3,2440,110,0,0,6,2420,90,2,3,1
215,1,0,0,2.0,4,140,140,1,6,0,40,140,1,1,0
216,0,0,1,3.0,4,3670,370,0,0,0,3210,370,2,7,1
217,1,0,0,3.0,2,10250,380,0,0,6,10230,380,1,1,0
218,1,0,0,2.0,3,9080,520,0,0,2,8900,370,1,1,0
219,1,0,0,2.0,3,3320,580,0,2,0,2800,310,1,1,0
220,0,0,0,2.0,2,1610,930,1,0,3,1610,0,2,7,1
221,1,0,0,2.0,4,4010,690,0,0,0,3980,200,1,1,0
222,1,1,1,3.0,2,100,80,0,6,0,100,80,1,1,0
223,1,1,1,2.0,3,590,90,0,0,6,500,50,1,1,0
224,0,1,0,1.0,3,1520,70,0,0,3,1520,70,2,3,1
225,1,0,0,1.0,2,580,100,1,2,3,580,0,2,4,1
226,1,0,0,1.0,4,1090,60,0,1,0,1070,60,1,1,0
227,0,1,0,1.0,3,620,310,0,0,4,620,0,3,6,1
228,1,1,1,2.0,3,3140,1390,2,3,3,3140,0,1,1,0
229,0,1,0,2.0,3,4580,370,0,0,0,3960,150,3,7,1
230,1,0,1,2.0,3,1780,50,0,0,1,1780,50,1,1,0
231,1,1,0,2.0,4,610,610,2,5,0,240,120,1,1,0
232,1,0,0,2.0,3,3890,140,0,1,1,3890,140,1,1,0
233,1,0,0,2.0,4,230,230,3,6,0,40,0,1,1,0
234,0,0,1,3.0,2,7150,310,0,0,6,7150,310,1,1,0
235,1,0,0,2.0,4,660,70,1,4,0,660,0,2,6,1
236,1,1,0,2.0,4,1550,90,0,0,4,1440,50,1,1,0
237,1,0,0,2.0,3,900,50,0,0,0,810,50,1,1,0
238,1,0,0,2.0,4,180,90,2,6,0,100,90,2,5,1
239,1,0,0,3.0,4,10,10,1,6,0,0,10,2,9,1
240,1,0,0,3.0,3,620,70,0,2,4,610,50,1,1,0
241,1,0,1,4.0,3,1610,170,2,5,0,1610,50,1,1,0
242,1,0,0,2.0,3,1150,70,0,0,0,1150,50,1,1,0
243,1,1,0,2.0,4,1560,150,0,6,0,1410,80,2,3,1
244,1,1,1,3.0,2,1090,60,0,0,0,1090,50,1,1,0
245,1,0,0,2.0,3,1570,90,0,0,3,1550,50,2,6,1
246,1,1,0,2.0,3,900,150,0,1,4,890,150,1,1,0
247,0,0,0,2.0,3,3290,160,0,0,0,3100,160,1,1,0
248,1,0,0,2.0,4,3040,3040,1,2,0,2140,220,1,1,0
249,1,0,0,2.0,3,600,150,2,6,0,600,100,1,1,0
250,1,1,1,2.0,3,910,50,0,0,0,850,50,1,1,0
251,1,0,1,3.0,3,650,650,2,6,0,40,40,1,1,0
252,1,0,1,2.0,3,1610,1610,2,5,0,240,70,1,1,0
253,1,0,1,3.0,2,1900,0,0,5,0,1900,0,1,1,0
254,0,1,1,3.0,4,6520,310,0,0,3,6420,310,2,3,1
255,1,0,0,2.0,4,3290,1980,1,4,0,2390,1220,1,1,0
256,1,1,0,2.0,3,1500,190,0,0,1,1500,50,1,1,0
257,1,0,1,2.0,4,580,580,2,6,0,140,140,2,3,1
258,1,0,0,2.0,4,1550,1570,2,5,0,70,1570,1,1,0
259,1,0,0,2.0,4,520,520,3,5,0,310,10,1,1,0
260,1,0,1,2.0,3,190,10,1,6,0,190,0,1,1,0
261,1,1,0,1.0,2,300,40,0,0,4,210,30,2,3,1
262,0,0,0,3.0,2,2790,130,0,0,0,2720,130,1,1,0
263,1,0,0,3.0,4,1090,50,0,0,6,1060,50,1,1,0
264,0,1,0,2.0,3,450,80,0,1,0,420,50,2,8,1
265,1,1,0,2.0,2,2140,60,0,2,0,2140,60,1,1,0
266,1,1,1,2.0,4,40,40,2,6,0,30,0,2,3,1
267,0,0,0,3.0,4,0,0,0,6,0,0,0,2,2,1
268,1,0,0,2.0,3,500,90,0,6,0,340,60,1,1,0
269,0,0,0,2.0,3,0,0,0,6,0,0,0,1,1,0
270,1,0,0,2.0,3,2110,380,0,0,3,2100,140,1,1,0
271,0,1,1,3.0,4,690,690,3,6,0,10,80,2,3,1
272,1,0,0,2.0,4,40,10,0,6,0,40,10,1,1,0
273,1,1,1,2.0,2,1550,70,0,0,3,1550,60,1,1,0
274,1,0,1,2.0,3,3150,150,0,0,0,3150,120,1,1,0
275,1,0,0,2.0,4,80,50,1,6,0,50,30,1,1,0
276,1,1,1,3.0,3,3890,1350,0,2,0,3890,310,1,1,0
277,1,0,0,2.0,2,5010,240,0,0,3,5010,240,1,1,0
278,1,0,0,2.0,4,1720,150,0,0,0,1630,130,1,1,0
279,1,0,1,2.0,2,5960,150,0,0,1,5960,150,1,1,0
280,1,0,1,3.0,4,3370,1280,1,5,0,3370,1280,1,1,0
281,1,1,0,2.0,4,1940,100,0,0,0,1850,100,2,3,1
282,1,0,1,3.0,3,5540,260,0,0,0,5520,260,1,1,0
283,0,0,0,2.0,3,2190,110,0,0,0,2160,110,2,3,1
284,1,0,1,3.0,3,360,40,0,6,0,270,40,1,1,0
285,0,1,0,2.0,4,30,10540,2,6,0,30,30,1,1,0
286,0,0,0,1.0,3,0,0,0,6,0,0,0,2,2,1
287,1,1,1,3.0,3,80,30,0,6,0,50,30,2,14,1
288,0,1,0,2.0,3,310,110,0,0,5,210,110,2,3,1
289,1,1,0,2.0,4,0,50,1,6,0,0,0,2,2,1
290,1,1,0,2.0,4,6030,270,0,0,3,5930,270,1,1,0
291,1,0,1,2.0,3,70,80,3,6,0,50,20,1,1,0
292,1,0,1,2.0,3,4520,200,0,0,0,4370,200,1,1,0
293,1,0,1,2.0,4,1930,110,0,3,0,1800,80,1,1,0
294,0,1,0,2.0,4,600,600,2,6,0,0,0,2,2,1
295,1,1,0,2.0,3,3030,110,0,0,2,3030,110,1,1,0
296,1,0,0,2.0,4,0,4950,1,6,0,0,0,1,1,0
297,1,0,1,3.0,2,1560,70,0,0,2,1520,70,1,1,0
298,0,0,0,2.0,4,850,120,0,0,1,370,90,2,3,1
299,1,0,0,2.0,4,230,120,2,6,0,30,20,1,1,0
300,1,0,0,2.0,3,170,180,3,6,0,10,100,1,1,0
301,1,0,1,2.0,3,730,730,2,6,0,320,730,1,1,0
302,1,0,1,2.0,3,160,160,1,6,0,0,160,2,2,1
303,0,1,1,3.0,2,440,60,0,0,0,300,40,2,17,1
304,1,0,0,2.0,4,640,450,2,3,0,640,420,1,1,0
305,1,0,1,2.0,3,160,280,2,6,0,110,30,1,1,0
306,1,0,1,2.0,3,4490,210,0,0,2,4380,210,1,1,0
307,1,1,0,3.0,4,510,90,0,0,1,330,90,2,3,1
308,0,0,1,3.0,2,1830,180,0,0,0,1600,0,2,7,1
309,1,1,0,2.0,4,1700,50,0,2,0,1700,50,1,1,0
310,0,1,0,1.0,3,1510,60,0,0,1,1510,60,1,1,0
311,1,0,0,2.0,3,1640,80,0,0,0,1460,70,1,1,0
312,1,0,1,3.0,2,20,20,2,6,0,0,10,2,2,1
313,1,0,1,3.0,2,1560,110,0,0,2,1480,110,2,8,1
314,1,1,0,2.0,3,0,0,0,6,0,0,0,2,2,1
315,0,1,0,2.0,3,1780,80,0,0,0,1780,80,2,6,1
316,1,0,0,2.0,4,5500,1530,0,0,0,5260,640,1,1,0
317,1,1,0,1.0,3,260,110,0,6,0,40,30,1,1,0
318,0,0,1,2.0,3,800,190,1,6,0,800,50,1,1,0
319,1,0,0,2.0,3,3080,310,0,0,0,2840,310,1,1,0
320,1,1,0,3.0,3,1380,1160,1,5,0,0,0,2,2,1
321,0,0,1,3.0,3,30,30,1,6,0,20,10,3,7,1
322,0,0,1,2.0,3,920,120,0,0,0,760,120,2,11,1
323,1,1,1,3.0,3,1540,2360,2,6,0,1540,1360,1,1,0
324,1,1,1,3.0,4,3340,250,0,0,0,3050,160,2,13,1
325,0,0,1,2.0,3,710,730,3,6,0,0,30,3,4,1
326,0,0,0,3.0,3,390,90,0,6,0,290,90,2,3,1
327,1,0,0,2.0,4,970,350,0,4,0,320,0,2,4,1
328,1,0,1,3.0,3,2390,2390,2,6,0,0,0,2,2,1
329,1,1,0,2.0,4,630,50,0,0,6,630,40,1,1,0
330,1,0,0,2.0,4,4900,230,0,0,3,4380,180,1,1,0
331,1,0,0,2.0,4,4890,310,0,0,0,4790,310,1,1,0
332,1,0,0,2.0,3,10,0,0,6,0,10,0,1,1,0
333,0,0,1,2.0,3,1520,130,0,0,3,1420,60,1,1,0
334,1,0,0,2.0,4,200,210,4,6,0,30,210,1,1,0
335,1,0,0,2.0,3,0,60,1,6,0,0,0,1,1,0
336,1,1,0,2.0,3,190,40,1,6,0,180,40,1,1,0
337,1,0,0,2.0,4,760,620,2,6,0,70,0,3,5,1
338,1,1,1,2.0,4,8600,4430,2,2,3,8390,340,1,1,0
339,1,0,0,2.0,4,4440,170,0,0,1,4440,170,1,1,0
340,1,0,0,2.0,4,190,400,4,6,0,90,0,1,1,0
341,1,0,0,2.0,3,130,130,1,6,0,40,130,1,1,0
342,0,0,0,2.0,3,1540,90,0,0,5,1440,90,1,1,0
343,1,0,0,2.0,3,4340,200,0,0,6,4220,200,1,1,0
344,0,0,0,2.0,3,630,50,0,0,0,550,40,1,1,0
345,1,1,0,2.0,4,1190,710,1,3,0,1190,50,1,1,0
346,1,1,1,2.0,4,100,3050,5,6,0,0,310,2,2,1
347,0,1,0,2.0,4,0,0,0,6,0,0,0,2,2,1
348,1,0,0,3.0,3,2380,100,0,0,2,2350,100,1,1,0
349,1,1,1,3.0,2,580,100,0,0,0,490,100,3,9,1
350,0,1,1,3.0,3,950,60,0,6,0,850,50,1,1,0
351,1,0,0,2.0,3,4310,190,0,0,0,4310,190,1,1,0
352,1,1,0,2.0,3,5930,1070,0,0,0,5930,280,1,1,0
353,1,0,0,1.0,1,2580,120,0,0,0,2560,90,1,1,0
354,1,1,1,2.0,4,1560,1560,2,6,0,1520,10,1,1,0
355,0,0,0,1.0,3,15550,580,0,0,6,15500,310,2,10,1
356,1,0,0,2.0,3,2280,80,0,0,0,2180,80,1,1,0
357,1,1,0,2.0,3,1400,50,0,0,5,1400,0,2,10,1
358,0,1,1,3.0,4,60,60,1,6,0,0,0,2,2,1
359,1,0,0,2.0,4,20,20,1,6,0,20,10,1,1,0
360,1,0,1,3.0,3,260,260,3,6,0,0,50,2,2,1
361,1,0,1,4.0,3,1540,90,0,0,3,1440,90,1,1,0
362,1,1,0,1.0,3,90,50,0,2,0,90,0,2,7,1
363,1,1,1,3.0,4,0,0,0,6,0,0,0,2,2,1
364,0,0,1,2.0,3,630,40,0,0,3,630,0,2,6,1
365,0,1,1,2.0,3,2550,0,0,5,0,2550,0,2,5,1
366,1,1,0,2.0,4,660,1530,5,6,0,0,90,1,1,0
367,1,0,0,2.0,4,1520,270,0,0,0,1050,50,2,7,1
368,1,1,1,3.0,4,5460,4910,1,1,4,5290,250,1,1,0
369,1,1,1,3.0,2,690,60,0,0,0,580,50,1,1,0
370,1,1,1,3.0,3,770,130,0,0,2,630,0,3,6,1
371,1,0,0,2.0,4,440,430,3,6,0,330,430,1,1,0
372,1,1,0,2.0,4,2200,310,0,0,0,2140,110,1,1,0
373,0,1,0,2.0,3,630,150,0,1,0,630,60,1,1,0
374,1,0,0,2.0,3,2770,180,0,0,0,2720,130,1,1,0
375,0,0,1,2.0,3,110,50,0,6,0,60,50,2,7,1
376,1,1,1,2.0,2,3070,920,0,0,0,3070,90,1,1,0
377,0,0,0,2.0,3,180,60,0,6,0,90,30,2,3,1
378,1,1,0,2.0,3,960,310,1,2,0,690,310,1,1,0
379,1,0,1,3.0,1,10520,460,0,0,3,10320,460,1,1,0
380,1,0,0,2.0,4,2440,2440,1,5,1,0,2440,2,2,1
381,0,1,1,4.0,2,2290,160,0,0,5,1930,110,2,7,1
382,1,1,1,3.0,3,4970,240,0,0,6,4680,240,1,1,0
383,0,1,1,2.0,4,30,3980,3,6,0,30,10,1,1,0
384,1,1,1,2.0,4,0,0,0,6,0,0,0,2,2,1
385,0,0,1,2.0,3,1140,1180,1,6,0,0,1180,2,2,1
386,1,1,1,3.0,3,3170,130,0,0,0,3170,130,1,1,0
387,1,0,0,2.0,3,650,110,0,6,0,610,90,1,1,0
